quest_id,arc,antagonist,shadow_cell,order_lieutenant,scheme_vector,primary_location,secondary_location,failure_state
SW-PG-052,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",Deprecated Repositories,EPI-Center,the Aerie will lose one active defense route
SW-PG-053,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",EPI-Center,Marlowe Editing Protocol,the cell will scatter to a harder future encounter
SW-PG-054,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",Marlowe Editing Protocol,Skyship Salvage Ring,the facility will lock itself one hour outside normal time
SW-PG-055,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",Skyship Salvage Ring,Scrap-Yard Labyrinth,the prisoners will become usable voice-masks for the Order
SW-PG-056,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",Scrap-Yard Labyrinth,Deprecated Repositories,the ledger will burn backward into an earlier year
SW-PG-057,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",Deprecated Repositories,EPI-Center,the alliance vote will be contaminated by a false epoch clause
SW-PG-058,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",EPI-Center,Marlowe Editing Protocol,the lock will reset the room to a hostile past configuration
SW-PG-059,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",Marlowe Editing Protocol,Skyship Salvage Ring,the protected objective will arrive in the wrong era
SW-PG-060,The Rusted Calendar Coup,The Order of the Epochalypse,The Rusted Calendar Syndic,Gear-Abbot Threx Halvrin,"The Rusted Calendar Syndic of The Order of the Epochalypse attempts to hide chronal devices inside salvaged hulls, vendor stock, turret crates, and repair drones.",Skyship Salvage Ring,Scrap-Yard Labyrinth,the echo will imprint itself into the next Order cell
SW-PG-061,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Planet Defense Perimeter,Raid-Rush Choke Points,false evidence will be accepted as history
SW-PG-062,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Raid-Rush Choke Points,Magma-Core Forges,the Aerie will lose one active defense route
SW-PG-063,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Magma-Core Forges,Molten Forge,the cell will scatter to a harder future encounter
SW-PG-064,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Molten Forge,Bastion Anchor Yard,the facility will lock itself one hour outside normal time
SW-PG-065,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Bastion Anchor Yard,Planet Defense Perimeter,the prisoners will become usable voice-masks for the Order
SW-PG-066,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Planet Defense Perimeter,Raid-Rush Choke Points,the ledger will burn backward into an earlier year
SW-PG-067,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Raid-Rush Choke Points,Magma-Core Forges,the alliance vote will be contaminated by a false epoch clause
SW-PG-068,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Magma-Core Forges,Molten Forge,the lock will reset the room to a hostile past configuration
SW-PG-069,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Molten Forge,Bastion Anchor Yard,the protected objective will arrive in the wrong era
SW-PG-070,The Bastion of Stolen Eras,The Order of the Epochalypse,The Era-Break Bastion,Marshal Gravan Epoch-Maul,The Era-Break Bastion of The Order of the Epochalypse attempts to anchor stolen ages into fortified siege platforms that cannot be moved by normal force.,Bastion Anchor Yard,Planet Defense Perimeter,the echo will imprint itself into the next Order cell
SW-PG-071,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Anomaly Ward,Syndicate Spire,false evidence will be accepted as history
SW-PG-072,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Syndicate Spire,Front-Matter Void,the Aerie will lose one active defense route
SW-PG-073,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Front-Matter Void,Alternating Archives,the cell will scatter to a harder future encounter
SW-PG-074,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Alternating Archives,Null-Mirror Corridor,the facility will lock itself one hour outside normal time
SW-PG-075,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Null-Mirror Corridor,Anomaly Ward,the prisoners will become usable voice-masks for the Order
SW-PG-076,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Anomaly Ward,Syndicate Spire,the ledger will burn backward into an earlier year
SW-PG-077,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Syndicate Spire,Front-Matter Void,the alliance vote will be contaminated by a false epoch clause
SW-PG-078,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Front-Matter Void,Alternating Archives,the lock will reset the room to a hostile past configuration
SW-PG-079,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Alternating Archives,Null-Mirror Corridor,the protected objective will arrive in the wrong era
SW-PG-080,The Knife Between Seconds,The Order of the Epochalypse,The Knife Between Seconds,Nocturne Vel Riss,The Knife Between Seconds of The Order of the Epochalypse attempts to assassinate future witnesses by hiding killers in the microsecond between parry and counter.,Null-Mirror Corridor,Anomaly Ward,the echo will imprint itself into the next Order cell
SW-PG-081,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Emerald Canopy Sanctuary,Pachyderm Sanctuaries,false evidence will be accepted as history
SW-PG-082,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Pachyderm Sanctuaries,Canopy Portrait Halls,the Aerie will lose one active defense route
SW-PG-083,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Canopy Portrait Halls,Evolution Arenas,the cell will scatter to a harder future encounter
SW-PG-084,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Evolution Arenas,Living Garden Deck,the facility will lock itself one hour outside normal time
SW-PG-085,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Living Garden Deck,Emerald Canopy Sanctuary,the prisoners will become usable voice-masks for the Order
SW-PG-086,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Emerald Canopy Sanctuary,Pachyderm Sanctuaries,the ledger will burn backward into an earlier year
SW-PG-087,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Pachyderm Sanctuaries,Canopy Portrait Halls,the alliance vote will be contaminated by a false epoch clause
SW-PG-088,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Canopy Portrait Halls,Evolution Arenas,the lock will reset the room to a hostile past configuration
SW-PG-089,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Evolution Arenas,Living Garden Deck,the protected objective will arrive in the wrong era
SW-PG-090,The Withered Future,The Order of the Epochalypse,The Withered Future Garden,Matron Caeva Thorn-Year,"The Withered Future Garden of The Order of the Epochalypse attempts to infect living ships, sanctuary roots, and canopy bridges with futures where they already died.",Living Garden Deck,Emerald Canopy Sanctuary,the echo will imprint itself into the next Order cell
SW-PG-091,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Eclipse Engine Heart Remnant,Dawnforge Understar,false evidence will be accepted as history
SW-PG-092,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Dawnforge Understar,Sky Warden Treaty Ring,the Aerie will lose one active defense route
SW-PG-093,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Sky Warden Treaty Ring,Aerie of the Dawnshield,the cell will scatter to a harder future encounter
SW-PG-094,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Aerie of the Dawnshield,Epochalypse Engine Core,the facility will lock itself one hour outside normal time
SW-PG-095,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Epochalypse Engine Core,Eclipse Engine Heart Remnant,the prisoners will become usable voice-masks for the Order
SW-PG-096,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Eclipse Engine Heart Remnant,Dawnforge Understar,the ledger will burn backward into an earlier year
SW-PG-097,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Dawnforge Understar,Sky Warden Treaty Ring,the alliance vote will be contaminated by a false epoch clause
SW-PG-098,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Sky Warden Treaty Ring,Aerie of the Dawnshield,the lock will reset the room to a hostile past configuration
SW-PG-099,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Aerie of the Dawnshield,Epochalypse Engine Core,the protected objective will arrive in the wrong era
SW-PG-100,The Epochalypse Engine,The Order of the Epochalypse,The Prime Epochalypse Synod,Epoch-Cardinal Sar Vos Aster,The Prime Epochalypse Synod of The Order of the Epochalypse attempts to assemble a final era-reset engine from every failed Order cell and ignite it in the post-Dawnforge sky.,Epochalypse Engine Core,Eclipse Engine Heart Remnant,the echo will imprint itself into the next Order cell
