npc_id,name,race,rank,rank_title,class_affinity,sky_warden_role,hq_assignment,model_file,notes
SWN-001,Mira Vale,Human,1,Aerie Initiate,Protocol Weaver,signal-page recruit,Stormglass War Room,models/characters/SWN-001_mira_vale.glb,"balanced proportions; standard sky harness; battlefield logic, anti-anomaly protocols, hard-light ward drafting"
SWN-002,Kesh Anovar,Pelagan,1,Aerie Initiate,Orbital Striker,dock-runner and airlock spotter,Aether Thruster Bay,models/characters/SWN-002_kesh_anovar.glb,"fin-like ears, pressure-suit collar, aquatic markings; zero-g boarding, aerial pursuit, tether-platform defense"
SWN-003,Tali Reed,Sylvan Kin,1,Aerie Initiate,Sylvan Warden,living-rope bridge trainee,Cloud Barracks,models/characters/SWN-003_tali_reed.glb,"leaf ears, bark-fiber armor seams, vine braid; living-ship gardens, root defenses, bio-aether healing support"
SWN-004,Orren Pike,Human,1,Aerie Initiate,Kinetic Juggernaut,barricade cadet,Skyship Hangar,models/characters/SWN-004_orren_pike.glb,balanced proportions; standard sky harness; breach-line defense and anti-titan counterweight duty
SWN-005,Saffa Linn,Fae-Touched,1,Aerie Initiate,Flux-Caster,weather-lamp apprentice,Living Garden Deck,models/characters/SWN-005_saffa_linn.glb,"delicate luminous wings and asymmetric face markings; elemental shield management, ship-core thermal balancing, reaction magic"
SWN-006,Brix Thorn,Stoneblood,1,Aerie Initiate,Scrap-Tek,scrap hoist operator,Anomaly Watch Gallery,models/characters/SWN-006_brix_thorn.glb,"geode knuckles, stone brow, heavy jaw; ship salvage, turret deployment, magnetic repair warfare"
SWN-007,Naelo Korr,Nexus-Touched,1,Aerie Initiate,Phantom-Shift,anomaly watch trainee,Armada Command Ring,models/characters/SWN-007_naelo_korr.glb,"crystalline data shards and one scanning eye motif; stealth insertion, micro-teleportation, assassin countermeasure work"
SWN-008,Vesha Pryn,Aetherborn,1,Aerie Initiate,Resonant,signal choir junior,Highdock Crown,models/characters/SWN-008_vesha_pryn.glb,"glowing aether veins and translucent halo nodes; sonic navigation, rhythm-combat command, crowd disruption"
SWN-009,Juno Marrow,Glassborn,2,Windward Scout,Phantom-Shift,mirror-lane scout,Stormglass War Room,models/characters/SWN-009_juno_marrow.glb,"crystalline cheek plates and refractive shoulder trims; stealth insertion, micro-teleportation, assassin countermeasure work"
SWN-010,Elian Skye,Human,2,Windward Scout,Orbital Striker,cloud courier,Aether Thruster Bay,models/characters/SWN-010_elian_skye.glb,"balanced proportions; standard sky harness; zero-g boarding, aerial pursuit, tether-platform defense"
SWN-011,Rook Tallis,Ironkin,2,Windward Scout,Scrap-Tek,engine crawl scout,Cloud Barracks,models/characters/SWN-011_rook_tallis.glb,"metallic limbs, riveted joints, furnace-core chest light; ship salvage, turret deployment, magnetic repair warfare"
SWN-012,Maeve Quill,Aviori,2,Windward Scout,Packmaster,glider patrol handler,Skyship Hangar,models/characters/SWN-012_maeve_quill.glb,feather crests and compact glider wings; hound-assisted interdiction and target lockdown
SWN-013,Corr Vantik,Drakari,2,Windward Scout,Apex Mutator,boarding-claw scout,Living Garden Deck,models/characters/SWN-013_corr_vantik.glb,"short horns, scaled shoulders, ember eyes; adaptive boarding assaults and hostile-biome survival"
SWN-014,Ilyx Vorn,Umbral,2,Windward Scout,Protocol Weaver,shadow-signal analyst,Anomaly Watch Gallery,models/characters/SWN-014_ilyx_vorn.glb,"shadowed cloak fins and void-lit eyes; battlefield logic, anti-anomaly protocols, hard-light ward drafting"
SWN-015,Salen Oru,Lunari,2,Windward Scout,Resonant,low-gravity tone reader,Armada Command Ring,models/characters/SWN-015_salen_oru.glb,"moon-pale skin, crescent crest, low-gravity posture; sonic navigation, rhythm-combat command, crowd disruption"
SWN-016,Aya Gearhart,Ironkin,3,Skyrigger,Scrap-Tek,keel-spine rigger,Highdock Crown,models/characters/SWN-016_aya_gearhart.glb,"metallic limbs, riveted joints, furnace-core chest light; ship salvage, turret deployment, magnetic repair warfare"
SWN-017,Grom Fenwick,Stoneblood,3,Skyrigger,Kinetic Juggernaut,anchor-chain hauler,Stormglass War Room,models/characters/SWN-017_grom_fenwick.glb,"geode knuckles, stone brow, heavy jaw; breach-line defense and anti-titan counterweight duty"
SWN-018,Selka Morn,Pelagan,3,Skyrigger,Flux-Caster,storm coolant technician,Aether Thruster Bay,models/characters/SWN-018_selka_morn.glb,"fin-like ears, pressure-suit collar, aquatic markings; elemental shield management, ship-core thermal balancing, reaction magic"
SWN-019,Venn Ryll,Aetherborn,3,Skyrigger,Protocol Weaver,hard-light lattice rigger,Cloud Barracks,models/characters/SWN-019_venn_ryll.glb,"glowing aether veins and translucent halo nodes; battlefield logic, anti-anomaly protocols, hard-light ward drafting"
SWN-020,Thessa Blue,Glassborn,3,Skyrigger,Orbital Striker,glass-sail calibrator,Skyship Hangar,models/characters/SWN-020_thessa_blue.glb,"crystalline cheek plates and refractive shoulder trims; zero-g boarding, aerial pursuit, tether-platform defense"
SWN-021,Ardak Pell,Drakari,3,Skyrigger,Apex Mutator,hull breach responder,Living Garden Deck,models/characters/SWN-021_ardak_pell.glb,"short horns, scaled shoulders, ember eyes; adaptive boarding assaults and hostile-biome survival"
SWN-022,Kael Windmere,Human,4,Cloudblade,Phantom-Shift,boarding sabre lead,Anomaly Watch Gallery,models/characters/SWN-022_kael_windmere.glb,"balanced proportions; standard sky harness; stealth insertion, micro-teleportation, assassin countermeasure work"
SWN-023,Nessa Vireo,Aviori,4,Cloudblade,Orbital Striker,wingline duelist,Armada Command Ring,models/characters/SWN-023_nessa_vireo.glb,"feather crests and compact glider wings; zero-g boarding, aerial pursuit, tether-platform defense"
SWN-024,Brakka Flint,Emberkin,4,Cloudblade,Kinetic Juggernaut,flameproof breach fighter,Highdock Crown,models/characters/SWN-024_brakka_flint.glb,"warm ember cracks, flame-threaded hair; breach-line defense and anti-titan counterweight duty"
SWN-025,Iren Sol,Lunari,4,Cloudblade,Flux-Caster,moonlight blade caster,Stormglass War Room,models/characters/SWN-025_iren_sol.glb,"moon-pale skin, crescent crest, low-gravity posture; elemental shield management, ship-core thermal balancing, reaction magic"
SWN-026,Daro Quen,Nexus-Touched,4,Cloudblade,Phantom-Shift,corridor blink specialist,Aether Thruster Bay,models/characters/SWN-026_daro_quen.glb,"crystalline data shards and one scanning eye motif; stealth insertion, micro-teleportation, assassin countermeasure work"
SWN-027,Luma Vey,Fae-Touched,4,Cloudblade,Resonant,aerial rhythm striker,Cloud Barracks,models/characters/SWN-027_luma_vey.glb,"delicate luminous wings and asymmetric face markings; sonic navigation, rhythm-combat command, crowd disruption"
SWN-028,Sovan Kade,Human,5,Stormguard,Packmaster,convoy kennel shield,Skyship Hangar,models/characters/SWN-028_sovan_kade.glb,balanced proportions; standard sky harness; hound-assisted interdiction and target lockdown
SWN-029,Yara Brightrip,Emberkin,5,Stormguard,Scrap-Tek,pyro-turret defender,Living Garden Deck,models/characters/SWN-029_yara_brightrip.glb,"warm ember cracks, flame-threaded hair; ship salvage, turret deployment, magnetic repair warfare"
SWN-030,Mael Corvic,Umbral,5,Stormguard,Phantom-Shift,night boarding guard,Anomaly Watch Gallery,models/characters/SWN-030_mael_corvic.glb,"shadowed cloak fins and void-lit eyes; stealth insertion, micro-teleportation, assassin countermeasure work"
SWN-031,Rhys Ironvale,Ironkin,5,Stormguard,Kinetic Juggernaut,armored gangway bulwark,Armada Command Ring,models/characters/SWN-031_rhys_ironvale.glb,"metallic limbs, riveted joints, furnace-core chest light; breach-line defense and anti-titan counterweight duty"
SWN-032,Oda Cael,Sylvan Kin,5,Stormguard,Sylvan Warden,greenhouse shield captain,Highdock Crown,models/characters/SWN-032_oda_cael.glb,"leaf ears, bark-fiber armor seams, vine braid; living-ship gardens, root defenses, bio-aether healing support"
SWN-033,Sera Halewright,Aetherborn,6,Aetherwright,Protocol Weaver,aether-core drafter,Stormglass War Room,models/characters/SWN-033_sera_halewright.glb,"glowing aether veins and translucent halo nodes; battlefield logic, anti-anomaly protocols, hard-light ward drafting"
SWN-034,Tavi Arcvale,Sylvan Kin,6,Aetherwright,Sylvan Warden,living-ship botanist,Aether Thruster Bay,models/characters/SWN-034_tavi_arcvale.glb,"leaf ears, bark-fiber armor seams, vine braid; living-ship gardens, root defenses, bio-aether healing support"
SWN-035,Jun Glasswake,Glassborn,6,Aetherwright,Flux-Caster,thermal lenswright,Cloud Barracks,models/characters/SWN-035_jun_glasswake.glb,"crystalline cheek plates and refractive shoulder trims; elemental shield management, ship-core thermal balancing, reaction magic"
SWN-036,Mora Qint,Pelagan,6,Aetherwright,Orbital Striker,pressure rig engineer,Skyship Hangar,models/characters/SWN-036_mora_qint.glb,"fin-like ears, pressure-suit collar, aquatic markings; zero-g boarding, aerial pursuit, tether-platform defense"
SWN-037,Asha Loworbit,Lunari,6,Aetherwright,Resonant,gravity-bell mechanic,Living Garden Deck,models/characters/SWN-037_asha_loworbit.glb,"moon-pale skin, crescent crest, low-gravity posture; sonic navigation, rhythm-combat command, crowd disruption"
SWN-038,Renn Skybreaker,Human,7,Sky Marshal,Kinetic Juggernaut,regional breach marshal,Anomaly Watch Gallery,models/characters/SWN-038_renn_skybreaker.glb,balanced proportions; standard sky harness; breach-line defense and anti-titan counterweight duty
SWN-039,Pell Aetheron,Aetherborn,7,Sky Marshal,Protocol Weaver,anomaly response marshal,Armada Command Ring,models/characters/SWN-039_pell_aetheron.glb,"glowing aether veins and translucent halo nodes; battlefield logic, anti-anomaly protocols, hard-light ward drafting"
SWN-040,Vale Crixon,Ironkin,7,Sky Marshal,Scrap-Tek,salvage wing marshal,Highdock Crown,models/characters/SWN-040_vale_crixon.glb,"metallic limbs, riveted joints, furnace-core chest light; ship salvage, turret deployment, magnetic repair warfare"
SWN-041,Fen Larkwire,Aviori,7,Sky Marshal,Packmaster,high-altitude hunt marshal,Stormglass War Room,models/characters/SWN-041_fen_larkwire.glb,feather crests and compact glider wings; hound-assisted interdiction and target lockdown
SWN-042,Lyra Stormhall,Human,8,Wing Commander,Flux-Caster,storm-wing commander,Aether Thruster Bay,models/characters/SWN-042_lyra_stormhall.glb,"balanced proportions; standard sky harness; elemental shield management, ship-core thermal balancing, reaction magic"
SWN-043,Nyx Alara,Umbral,8,Wing Commander,Phantom-Shift,black-cloud infiltration commander,Cloud Barracks,models/characters/SWN-043_nyx_alara.glb,"shadowed cloak fins and void-lit eyes; stealth insertion, micro-teleportation, assassin countermeasure work"
SWN-044,Rixx Varr,Drakari,8,Wing Commander,Apex Mutator,boarding mutation commander,Skyship Hangar,models/characters/SWN-044_rixx_varr.glb,"short horns, scaled shoulders, ember eyes; adaptive boarding assaults and hostile-biome survival"
SWN-045,Caldera Wove,Pelagan,8,Wing Commander,Resonant,pressure-choir commander,Living Garden Deck,models/characters/SWN-045_caldera_wove.glb,"fin-like ears, pressure-suit collar, aquatic markings; sonic navigation, rhythm-combat command, crowd disruption"
SWN-046,Ilyra Highroot,Sylvan Kin,9,High Warden,Sylvan Warden,high warden of living docks,Anomaly Watch Gallery,models/characters/SWN-046_ilyra_highroot.glb,"leaf ears, bark-fiber armor seams, vine braid; living-ship gardens, root defenses, bio-aether healing support"
SWN-047,Sahel Meridian,Glassborn,9,High Warden,Orbital Striker,high warden of sky charts,Armada Command Ring,models/characters/SWN-047_sahel_meridian.glb,"crystalline cheek plates and refractive shoulder trims; zero-g boarding, aerial pursuit, tether-platform defense"
SWN-048,Bracca Halforn,Stoneblood,9,High Warden,Kinetic Juggernaut,high warden of breach walls,Highdock Crown,models/characters/SWN-048_bracca_halforn.glb,"geode knuckles, stone brow, heavy jaw; breach-line defense and anti-titan counterweight duty"
SWN-049,Captain Aurex Dawnhelm,Starforged,10,Sky Warden Prime,Protocol Weaver,"Sky Warden Prime, dawnshield doctrine",Stormglass War Room,models/characters/SWN-049_captain_aurex_dawnhelm.glb,"star-map tattoos, plated cosmic exosuit seams; battlefield logic, anti-anomaly protocols, hard-light ward drafting"
SWN-050,Marshal Veyra Solis,Aetherborn,10,Sky Warden Prime,Orbital Striker,"Sky Warden Prime, orbital response",Aether Thruster Bay,models/characters/SWN-050_marshal_veyra_solis.glb,"glowing aether veins and translucent halo nodes; zero-g boarding, aerial pursuit, tether-platform defense"
