world_map_location,sublocation,event_id,covered,required_player_level
The Urban Sprawl,Spire-Foot Transit Plaza,SEV-001,True,20
The Urban Sprawl,Lower Civic Ring,SEV-002,True,20
The Urban Sprawl,Collapsed Skywalk Lanes,SEV-003,True,20
The Urban Sprawl,Alliance Muster Square,SEV-004,True,20
The Urban Sprawl,Old Wayfinder Stairs,SEV-005,True,20
The Zenith Spire,Glass Lobby Atrium,SEV-006,True,20
The Zenith Spire,Executive Lift Shafts,SEV-007,True,21
The Zenith Spire,Atmospheric Observation Deck,SEV-008,True,21
The Zenith Spire,Star-Elevator Spine,SEV-009,True,21
The Zenith Spire,Oligarch Glass Suite,SEV-010,True,21
The Central Pillar / Star-Elevator Core,Aether Counterweight Hall,SEV-011,True,21
The Central Pillar / Star-Elevator Core,Broken Ventilation Spine,SEV-012,True,21
The Central Pillar / Star-Elevator Core,Gravity Cable Junction,SEV-013,True,21
The Central Pillar / Star-Elevator Core,World-Pillar Maintenance Ring,SEV-014,True,21
The Central Pillar / Star-Elevator Core,Dawnforge Descent Gate,SEV-015,True,21
The Subterranean Grid,Neon Rail Concourse,SEV-016,True,21
The Subterranean Grid,Express-Line Switchroom,SEV-017,True,21
The Subterranean Grid,Dead Platform Twelve,SEV-018,True,22
The Subterranean Grid,Train-Hazard Arena,SEV-019,True,22
The Subterranean Grid,Spark’s Signal Den,SEV-020,True,22
The Provisioning Sectors,Drone Dispatch Alleys,SEV-021,True,22
The Provisioning Sectors,Ration Kiosk Row,SEV-022,True,22
The Provisioning Sectors,Reinforced Storefront Lane,SEV-023,True,22
The Provisioning Sectors,Wall-Run Market Roofs,SEV-024,True,22
The Provisioning Sectors,Vendor Audit Vault,SEV-025,True,22
The Raid-Rush Choke Points,Barricade Gate Alpha,SEV-026,True,22
The Raid-Rush Choke Points,Crush-Gate Corridor,SEV-027,True,22
The Raid-Rush Choke Points,Militia Sensor Nest,SEV-028,True,23
The Raid-Rush Choke Points,Kill-Lane Overpass,SEV-029,True,23
The Raid-Rush Choke Points,Fallback Ammunition Yard,SEV-030,True,23
The On-Demand Arteries,RideShare Roofway,SEV-031,True,23
The On-Demand Arteries,Lane-Swap Bridges,SEV-032,True,23
The On-Demand Arteries,Automated Toll Spine,SEV-033,True,23
The On-Demand Arteries,Overpass Leap Chain,SEV-034,True,23
The On-Demand Arteries,Service Vehicle Depot,SEV-035,True,23
The Micro-Transaction Markets,Slot-Lantern Bazaar,SEV-036,True,23
The Micro-Transaction Markets,Coin-Dispenser Arcade,SEV-037,True,23
The Micro-Transaction Markets,Neon Vendor Labyrinth,SEV-038,True,23
The Micro-Transaction Markets,Prize-Chest Alley,SEV-039,True,24
The Micro-Transaction Markets,Market Combat Stage,SEV-040,True,24
The Emerald Canopy Sanctuary,Suspended Rope Bridges,SEV-041,True,24
The Emerald Canopy Sanctuary,Beast-Back Platforms,SEV-042,True,24
The Emerald Canopy Sanctuary,Upper Canopy Safe Nests,SEV-043,True,24
The Emerald Canopy Sanctuary,Sanctuary Water Steps,SEV-044,True,24
The Emerald Canopy Sanctuary,Kaelen’s Treetop Camp,SEV-045,True,24
The Pachyderm Sanctuaries,Titan Footfall Basin,SEV-046,True,24
The Pachyderm Sanctuaries,Poacher-Drone Blind,SEV-047,True,24
The Pachyderm Sanctuaries,Wet Fern Corridor,SEV-048,True,24
The Pachyderm Sanctuaries,Sanctuary Feeding Run,SEV-049,True,24
The Pachyderm Sanctuaries,Ancient Beast Hollow,SEV-050,True,25
The Canopy Portrait Halls,Mural Vestibule,SEV-051,True,25
The Canopy Portrait Halls,Vine-Swing Nave,SEV-052,True,25
The Canopy Portrait Halls,Pressure-Plate Gallery,SEV-053,True,25
The Canopy Portrait Halls,Root-Sealed Reliquary,SEV-054,True,25
The Canopy Portrait Halls,Collapsed Fresco Walk,SEV-055,True,25
The Whispering Glade,Lumenroot Meadow,SEV-056,True,25
The Whispering Glade,Glow-Vine Path,SEV-057,True,25
The Whispering Glade,Silent Pool,SEV-058,True,25
The Whispering Glade,Combo-Lit Hidden Trail,SEV-059,True,25
The Whispering Glade,Twilight Elite Clearing,SEV-060,True,26
The Evolution Arenas,Dormant Crater Floor,SEV-061,True,26
The Evolution Arenas,Rising Pillar Ring,SEV-062,True,26
The Evolution Arenas,Adaptive Pit Lanes,SEV-063,True,26
The Evolution Arenas,Elemental Hazard Crown,SEV-064,True,26
The Evolution Arenas,Arena Evolution Core,SEV-065,True,26
The Heavy-Chewer Canyons,Geode Narrows,SEV-066,True,26
The Heavy-Chewer Canyons,Jawbone Switchback,SEV-067,True,26
The Heavy-Chewer Canyons,Pack-Hunter Ledge,SEV-068,True,26
The Heavy-Chewer Canyons,Choke-Canyon Basin,SEV-069,True,26
The Heavy-Chewer Canyons,Echoing Redstone Gate,SEV-070,True,26
The Molten Forge,Lava-Tide Walkways,SEV-071,True,27
The Molten Forge,Slagfall Gantry,SEV-072,True,27
The Molten Forge,Thermal Updraft Shafts,SEV-073,True,27
The Molten Forge,Warden Hammer Floor,SEV-074,True,27
The Molten Forge,Volcanic Intake Gate,SEV-075,True,27
The Magma-Core Forges,Molten Iron Rivers,SEV-076,True,27
The Magma-Core Forges,Hydraulic Hammer Row,SEV-077,True,27
The Magma-Core Forges,Anvil Timing Hall,SEV-078,True,27
The Magma-Core Forges,Forge-Crane Bridges,SEV-079,True,27
The Magma-Core Forges,Core Armory Vault,SEV-080,True,27
The Scrap-Yard Labyrinth,Magnetized Wall Maze,SEV-081,True,27
The Scrap-Yard Labyrinth,Walker-Bone Ramparts,SEV-082,True,28
The Scrap-Yard Labyrinth,Crushed Starship Stack,SEV-083,True,28
The Scrap-Yard Labyrinth,Scrap-Tek Salvage Yard,SEV-084,True,28
The Scrap-Yard Labyrinth,Junkyard Minotaur Turn,SEV-085,True,28
The Playa of Ash,Ash Flat Expanse,SEV-086,True,28
The Playa of Ash,Pyro Stage Ring,SEV-087,True,28
The Playa of Ash,Rusted Art-Car Grave,SEV-088,True,28
The Playa of Ash,Bass-Thrum Sandfield,SEV-089,True,28
The Playa of Ash,Fire-Spout Causeway,SEV-090,True,28
The Burning Playa,Nightfall Dust Flat,SEV-091,True,28
The Burning Playa,Fire-Breathing Art-Car Route,SEV-092,True,29
The Burning Playa,Mobile Wall-Run Circuit,SEV-093,True,29
The Burning Playa,Visibility-Zero Storm,SEV-094,True,29
The Burning Playa,Alkaline Camp Ruins,SEV-095,True,29
The Sonic Badlands,Ancient Tuning Fork Field,SEV-096,True,29
The Sonic Badlands,Resonance Crack Basin,SEV-097,True,29
The Sonic Badlands,Shockwave Relay Stones,SEV-098,True,29
The Sonic Badlands,Badlands Drum Line,SEV-099,True,29
The Sonic Badlands,Fork-Chime Gate,SEV-100,True,29
The Phonetic Wastes,Silent Dune Shelf,SEV-101,True,29
The Phonetic Wastes,Crystalline Word Shards,SEV-102,True,29
The Phonetic Wastes,Glass-Sound Ripple Path,SEV-103,True,30
The Phonetic Wastes,Mute Horizon Gate,SEV-104,True,30
The Phonetic Wastes,Shattered Syllable Basin,SEV-105,True,30
The Reggae-Dub Oasis,Hillside Speaker Towers,SEV-106,True,30
The Reggae-Dub Oasis,Point-of-Sale Barricades,SEV-107,True,30
The Reggae-Dub Oasis,Dub-Bass Courtyard,SEV-108,True,30
The Reggae-Dub Oasis,Vendor Backline Camp,SEV-109,True,30
The Reggae-Dub Oasis,Slow-Tempo Stage,SEV-110,True,30
The Wayfora Archipelago,Luxury Pier Ruins,SEV-111,True,30
The Wayfora Archipelago,Tidal Wash Arena,SEV-112,True,30
The Wayfora Archipelago,Resort Reef Paths,SEV-113,True,30
The Wayfora Archipelago,Island-Hop Rope Route,SEV-114,True,31
The Wayfora Archipelago,Elemental Cove,SEV-115,True,31
The Abyssal Trench,Cracked Glass Dome,SEV-116,True,31
The Abyssal Trench,Pressure-Slow Arena,SEV-117,True,31
The Abyssal Trench,Leaking Airlock Run,SEV-118,True,31
The Abyssal Trench,Deep Signal Relay,SEV-119,True,31
The Abyssal Trench,Trench Observation Ring,SEV-120,True,31
The Resonant Peaks,Psychoacoustic Summit Path,SEV-121,True,31
The Resonant Peaks,Floating Stone Steps,SEV-122,True,31
The Resonant Peaks,Updraft Chimney,SEV-123,True,31
The Resonant Peaks,Chord Weaver’s Trial Shelf,SEV-124,True,31
The Resonant Peaks,Magnetic Wind Bridge,SEV-125,True,32
The Rhyming Labyrinths,Cadence Door Hall,SEV-126,True,32
The Rhyming Labyrinths,Spoken-Word Switch Maze,SEV-127,True,32
The Rhyming Labyrinths,Rhyme-Locked Blast Doors,SEV-128,True,32
The Rhyming Labyrinths,Metered Combat Room,SEV-129,True,32
The Rhyming Labyrinths,Echo-Couplet Exit,SEV-130,True,32
Sector 6 Quarantine,Sterile Corridor Block,SEV-131,True,32
Sector 6 Quarantine,Shattered Operating Theater,SEV-132,True,32
Sector 6 Quarantine,Dr. Blake Monitor Bay,SEV-133,True,32
Sector 6 Quarantine,Central Trauma Ward,SEV-134,True,32
Sector 6 Quarantine,Containment Airlock Six,SEV-135,True,33
The Syndicate Spire,Pristine Glass Lobby,SEV-136,True,34
The Syndicate Spire,Fortified Elevator Shaft,SEV-137,True,34
The Syndicate Spire,Shareholder Observation Suite,SEV-138,True,34
The Syndicate Spire,Executive Combat Floor,SEV-139,True,34
The Syndicate Spire,Director Vance Broadcast Room,SEV-140,True,34
The Anomaly Ward,Looping Clinical Hall,SEV-141,True,34
The Anomaly Ward,Stretched Operating Corridor,SEV-142,True,34
The Anomaly Ward,Anti-Gravity Trauma Bay,SEV-143,True,34
The Anomaly Ward,Floating Equipment Ward,SEV-144,True,34
The Anomaly Ward,Reality-Tear Recovery Room,SEV-145,True,34
The EPI-Center,Hard-Light Data Bridge,SEV-146,True,36
The EPI-Center,Central Processing Chasm,SEV-147,True,36
The EPI-Center,Drafting Server Wall,SEV-148,True,36
The EPI-Center,Code-Revision Arena,SEV-149,True,36
The EPI-Center,World-State Compiler Core,SEV-150,True,36
The Deprecated Repositories,Exposed Code Frameworks,SEV-151,True,36
The Deprecated Repositories,Refunding Bridge Span,SEV-152,True,36
The Deprecated Repositories,Fragmented Core Node,SEV-153,True,36
The Deprecated Repositories,Half-Built Vault Floor,SEV-154,True,36
The Deprecated Repositories,Despawning Platform Gauntlet,SEV-155,True,36
The Shut-Down Academies,Empty Lecture Hall,SEV-156,True,36
The Shut-Down Academies,Overdrive Simulator Wing,SEV-157,True,37
The Shut-Down Academies,Overgrown Courtyard,SEV-158,True,37
The Shut-Down Academies,Locked Drill Yard,SEV-159,True,37
The Shut-Down Academies,Abandoned Strategy Theater,SEV-160,True,37
The Voyage Incubator,Cultivation Tube Hall,SEV-161,True,37
The Voyage Incubator,Biome Projector Chamber,SEV-162,True,37
The Voyage Incubator,Prototype Acceleration Pit,SEV-163,True,37
The Voyage Incubator,Tundra-to-Desert Test Room,SEV-164,True,37
The Voyage Incubator,Incubator Control Theatre,SEV-165,True,37
The Alternating Archives,Odd-Floor Gravity Stack,SEV-166,True,38
The Alternating Archives,Even-Floor Ceiling Walk,SEV-167,True,39
The Alternating Archives,Front-Matter Guard Hall,SEV-168,True,39
The Alternating Archives,Index Lift of 356,SEV-169,True,39
The Alternating Archives,Inverted Reading Chamber,SEV-170,True,39
The Marlowe Editing Protocol,Red-Pen Laser Lane,SEV-171,True,39
The Marlowe Editing Protocol,Revision Chamber Floor,SEV-172,True,39
The Marlowe Editing Protocol,Critique Grid Bridge,SEV-173,True,39
The Marlowe Editing Protocol,Health-Bar Edit Sweep,SEV-174,True,39
The Marlowe Editing Protocol,Protocol Judgment Stage,SEV-175,True,39
The Pocket-Monster Data Plains,Grid-Savanna Start,SEV-176,True,39
The Pocket-Monster Data Plains,Evolution Bloom Field,SEV-177,True,39
The Pocket-Monster Data Plains,Rhythm-Pattern Grove,SEV-178,True,40
The Pocket-Monster Data Plains,Data-Fauna Migration Path,SEV-179,True,40
The Pocket-Monster Data Plains,Mega-Evolution Hazard Ring,SEV-180,True,40
The Lunar Readiness Base,Crater Training Field,SEV-181,True,40
The Lunar Readiness Base,Broken Launch Gantry,SEV-182,True,40
The Lunar Readiness Base,Low-G Jump Range,SEV-183,True,40
The Lunar Readiness Base,Derelict Vessel Skeleton,SEV-184,True,40
The Lunar Readiness Base,Lunar Drill Bunker,SEV-185,True,40
The Orbital Tether Station,Shattered Solar Panel Field,SEV-186,True,40
The Orbital Tether Station,Curvature View Deck,SEV-187,True,40
The Orbital Tether Station,Zero-G Debris Lane,SEV-188,True,40
The Orbital Tether Station,Tether Docking Ring,SEV-189,True,40
The Orbital Tether Station,Solis Artillery Console,SEV-190,True,40
The Planet Defense Perimeter,Orbital Bombardment Lane,SEV-191,True,40
The Planet Defense Perimeter,Energy Shield Lattice,SEV-192,True,40
The Planet Defense Perimeter,Automated Turret Ring,SEV-193,True,40
The Planet Defense Perimeter,Upper Atmosphere Gate,SEV-194,True,40
The Planet Defense Perimeter,Perimeter Command Halo,SEV-195,True,40
The Canceled Supabase,Missing Terrain Span,SEV-196,True,40
The Canceled Supabase,Rollback Platform Field,SEV-197,True,40
The Canceled Supabase,Version-Control Core,SEV-198,True,40
The Canceled Supabase,Half-Deployed Service Gate,SEV-199,True,40
The Canceled Supabase,Reverting Floor Gauntlet,SEV-200,True,40
The Infinite Archives,Hidden Canopy Entrance,SEV-201,True,40
The Infinite Archives,Holographic Archivist Hall,SEV-202,True,40
The Infinite Archives,Anti-Gravity Stack Room,SEV-203,True,40
The Infinite Archives,History Preservation Vault,SEV-204,True,40
The Infinite Archives,Deep Index Sanctum,SEV-205,True,40
The Front-Matter Void,Blank Page Expanse,SEV-206,True,40
The Front-Matter Void,Unrendered Ledge Field,SEV-207,True,40
The Front-Matter Void,Draw-In Geometry Corridor,SEV-208,True,40
The Front-Matter Void,Invisible Wall Trial,SEV-209,True,40
The Front-Matter Void,White Horizon Terminus,SEV-210,True,40
The Lich's Court,Stained-Glass Throne Floor,SEV-211,True,40
The Lich's Court,Void Abyss Balcony,SEV-212,True,40
The Lich's Court,Undead Command Gallery,SEV-213,True,40
The Lich's Court,Cracking Court Bridge,SEV-214,True,40
The Lich's Court,Syndicate Lich Dais,SEV-215,True,40
