region,sub_location,area,map_file,shops
01 Cosmic Layer,01 Lunar Readiness Base,Lunar Command Citadel,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/01_lunar_command_citadel_map.png,Mechanic: Boltworks Lunar; General Goods: Supply Post Lunar
01 Cosmic Layer,01 Lunar Readiness Base,Crater Gantry Loop,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/02_crater_gantry_loop_map.png,Medic: Field Surgery Crater
01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries_map.png,Armor Dye Pack Shop: Color Forge Surface
01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid_map.png,Inn: The Wandering Anti-Orbital; Armor Dye Pack Shop: Color Forge Anti-Orbital
01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories_map.png,Blacksmith: Smelter of Troop; Weapon Skin Shop: Patternsmith Troop
01 Cosmic Layer,01 Lunar Readiness Base,Vehicle Hangars,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/06_vehicle_hangars_map.png,Alchemist: Elixir Nook Vehicle; Tailor: Stitchmark Vehicle
01 Cosmic Layer,01 Lunar Readiness Base,Resource Refinery Complex,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/07_resource_refinery_complex_map.png,Weapon Skin Shop: EdgeLacquer Resource
01 Cosmic Layer,01 Lunar Readiness Base,Helipad & Dropship Pads,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/08_helipad_and_dropship_pads_map.png,Tailor: Thread & Hem Helipad
01 Cosmic Layer,01 Lunar Readiness Base,Maintenance Trenches,area_maps/sub_locations/01_cosmic_layer/01_lunar_readiness_base/09_maintenance_trenches_map.png,Stable: Saddle Gate Maintenance; Weapon Skin Shop: EdgeLacquer Maintenance
01 Cosmic Layer,02 Planet Defense Perimeter,Central Defense Ring,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/01_central_defense_ring_map.png,General Goods: Supply Post Central
01 Cosmic Layer,02 Planet Defense Perimeter,Laser Cannon Batteries,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/02_laser_cannon_batteries_map.png,Armor Dye Pack Shop: Dyehouse Laser
01 Cosmic Layer,02 Planet Defense Perimeter,Missile Defense Arrays,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/03_missile_defense_arrays_map.png,Food Stall: Griddle Row Missile; Relic Trader: Heritage Stand Missile
01 Cosmic Layer,02 Planet Defense Perimeter,Drone Interceptor Wings,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/04_drone_interceptor_wings_map.png,Blacksmith: Smelter of Drone
01 Cosmic Layer,02 Planet Defense Perimeter,Quantum Jammer Nodes,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/05_quantum_jammer_nodes_map.png,Weapon Skin Shop: Chromaforge Quantum
01 Cosmic Layer,02 Planet Defense Perimeter,Missile Silo Cluster,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/06_missile_silo_cluster_map.png,Tailor: Cloak and Cord Missile
01 Cosmic Layer,02 Planet Defense Perimeter,Defense Relay Alpha,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/07_defense_relay_alpha_map.png,Tailor: Thread & Hem Defense
01 Cosmic Layer,02 Planet Defense Perimeter,Defense Relay Beta,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/08_defense_relay_beta_map.png,Inn: The Moonlit Defense
01 Cosmic Layer,02 Planet Defense Perimeter,Orbital Patrol Squadron,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/09_orbital_patrol_squadron_map.png,Medic: Field Surgery Orbital
01 Cosmic Layer,02 Planet Defense Perimeter,Drone Interceptor Hangars,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/10_drone_interceptor_hangars_map.png,Stable: Saddle Gate Drone
01 Cosmic Layer,02 Planet Defense Perimeter,Patrol Squadron Docks,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/11_patrol_squadron_docks_map.png,Medic: Mender Post Patrol; Curio Shop: Curio Niche Patrol
01 Cosmic Layer,02 Planet Defense Perimeter,Early-Warning Satellite Spine,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/12_early_warning_satellite_spine_map.png,Alchemist: Tonic Cellar Early-Warning; Enchanter: Sigil Loom Early-Warning
01 Cosmic Layer,02 Planet Defense Perimeter,Breach Zone Kraken-7,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/13_breach_zone_kraken_7_map.png,General Goods: Provisions of Breach; Enchanter: Spellwire Breach
01 Cosmic Layer,02 Planet Defense Perimeter,Breach Zone Wraith-3,area_maps/sub_locations/01_cosmic_layer/02_planet_defense_perimeter/14_breach_zone_wraith_3_map.png,none
01 Cosmic Layer,03 Orbital Tether Station,Central Docking Ring,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/01_central_docking_ring_map.png,Marketplace: Merchant Court Central
01 Cosmic Layer,03 Orbital Tether Station,Cargo Docks North,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/02_cargo_docks_north_map.png,Marketplace: Merchant Court Cargo
01 Cosmic Layer,03 Orbital Tether Station,Cargo Docks South,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/03_cargo_docks_south_map.png,Relic Trader: Heritage Stand Cargo
01 Cosmic Layer,03 Orbital Tether Station,Passenger Terminal,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/04_passenger_terminal_map.png,Inn: The Iron Passenger
01 Cosmic Layer,03 Orbital Tether Station,Customs Concourse,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/05_customs_concourse_map.png,Curio Shop: Lucky Relics Customs
01 Cosmic Layer,03 Orbital Tether Station,Fuel & Repair Depot,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/06_fuel_and_repair_depot_map.png,Mechanic: Spanner Bay Fuel
01 Cosmic Layer,03 Orbital Tether Station,Maintenance Spires,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/07_maintenance_spires_map.png,Armor Dye Pack Shop: Dyehouse Maintenance; Mechanic: Repair Dock Maintenance
01 Cosmic Layer,03 Orbital Tether Station,Shuttle Berths,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/08_shuttle_berths_map.png,General Goods: Supply Post Shuttle; Relic Trader: Oldlight Finds Shuttle
01 Cosmic Layer,03 Orbital Tether Station,Tether Anchor Array,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/09_tether_anchor_array_map.png,Weapon Skin Shop: EdgeLacquer Ter
01 Cosmic Layer,03 Orbital Tether Station,Power Core Nexus,area_maps/sub_locations/01_cosmic_layer/03_orbital_tether_station/10_power_core_nexus_map.png,Blacksmith: Steelhouse Power; Stable: Surestep Yard Power
01 Cosmic Layer,04 Space Elevator,Surface Nexus,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/01_surface_nexus_map.png,Curio Shop: Curio Niche Surface
01 Cosmic Layer,04 Space Elevator,Climber Dock & Launch Bay,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/02_climber_dock_and_launch_bay_map.png,Enchanter: Arcane Polish Climber
01 Cosmic Layer,04 Space Elevator,Emergency Detach Systems,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/03_emergency_detach_systems_map.png,Inn: The Moonlit Emergency
01 Cosmic Layer,04 Space Elevator,Tether Control Node,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/04_tether_control_node_map.png,Food Stall: Lantern Kitchen Ter; Stable: Beast Hitch Ter
01 Cosmic Layer,04 Space Elevator,Climber Loading Bay,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/05_climber_loading_bay_map.png,Marketplace: Merchant Court Climber
01 Cosmic Layer,04 Space Elevator,Counterweight Platform,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/06_counterweight_platform_map.png,Weapon Skin Shop: Patternsmith Counterweight
01 Cosmic Layer,04 Space Elevator,Stabilizer Arrays,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/07_stabilizer_arrays_map.png,Medic: Remedy Booth Stabilizer; Mechanic: Spanner Bay Stabilizer
01 Cosmic Layer,04 Space Elevator,Maintenance Collar,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/08_maintenance_collar_map.png,Blacksmith: Forge of Maintenance; Weapon Skin Shop: Patternsmith Maintenance
01 Cosmic Layer,04 Space Elevator,Integrity Monitor Stations,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/09_integrity_monitor_stations_map.png,Mechanic: Boltworks Integrity
01 Cosmic Layer,04 Space Elevator,Upper Tether Junction,area_maps/sub_locations/01_cosmic_layer/04_space_elevator/10_upper_tether_junction_map.png,Armor Dye Pack Shop: Dyehouse Upper; Alchemist: Elixir Nook Upper
02 Urban Core,01 The Zenith Spire,Executive Crown,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/01_executive_crown_map.png,Curio Shop: Curio Niche Executive
02 Urban Core,01 The Zenith Spire,Skybridge Decks,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/02_skybridge_decks_map.png,Tailor: Thread & Hem Skybridge
02 Urban Core,01 The Zenith Spire,Observation Halo,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/03_observation_halo_map.png,Armor Dye Pack Shop: Pigment Loft Observation
02 Urban Core,01 The Zenith Spire,Corporate Council Atrium,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/04_corporate_council_atrium_map.png,Blacksmith: Hammer at Corporate; General Goods: Supply Post Corporate
02 Urban Core,01 The Zenith Spire,Command Nexus,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/05_command_nexus_map.png,Medic: Field Surgery Command
02 Urban Core,01 The Zenith Spire,Security Ring,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/06_security_ring_map.png,Weapon Skin Shop: Patternsmith Security; Alchemist: Glassleaf Phials Security
02 Urban Core,01 The Zenith Spire,Data Vault Complex,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/07_data_vault_complex_map.png,none
02 Urban Core,01 The Zenith Spire,Transit Lift Core,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/08_transit_lift_core_map.png,Food Stall: Lantern Kitchen Transit; Blacksmith: Hammer at Transit
02 Urban Core,01 The Zenith Spire,Spire Plaza,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/09_spire_plaza_map.png,Medic: Mender Post Spire; Food Stall: Griddle Row Spire
02 Urban Core,01 The Zenith Spire,Maintenance Conduits,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/10_maintenance_conduits_map.png,Relic Trader: Heritage Stand Maintenance; Stable: Mount Roost Maintenance
02 Urban Core,01 The Zenith Spire,Power Plant,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/11_power_plant_map.png,Inn: The Silver Power; Alchemist: Elixir Nook Power
02 Urban Core,01 The Zenith Spire,Life Support & Recycling,area_maps/sub_locations/02_urban_core/01_the_zenith_spire/12_life_support_and_recycling_map.png,none
02 Urban Core,02 The Provisioning Sectors,Bulk Forges & Fabricators,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/01_bulk_forges_and_fabricators_map.png,Stable: Beast Hitch Bulk
02 Urban Core,02 The Provisioning Sectors,Agri-Domes & Hydro Farms,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/02_agri_domes_and_hydro_farms_map.png,Blacksmith: Steelhouse Agri-Domes; Curio Shop: Curio Niche Agri-Domes
02 Urban Core,02 The Provisioning Sectors,Logistics Depots,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/03_logistics_depots_map.png,Medic: Remedy Booth Logistics; Armor Dye Pack Shop: Color Forge Logistics
02 Urban Core,02 The Provisioning Sectors,Ration Houses & Kitchens,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/04_ration_houses_and_kitchens_map.png,Enchanter: Arcane Polish Ration
02 Urban Core,02 The Provisioning Sectors,Vendor Lanes,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/05_vendor_lanes_map.png,Relic Trader: Heritage Stand Vendor
02 Urban Core,02 The Provisioning Sectors,Rooftop Bazaars,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/06_rooftop_bazaars_map.png,Armor Dye Pack Shop: Dyehouse Rooftop
02 Urban Core,02 The Provisioning Sectors,Loading Platforms,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/07_loading_platforms_map.png,Marketplace: Open Market Loading
02 Urban Core,02 The Provisioning Sectors,Cold Storage Towers,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/08_cold_storage_towers_map.png,Food Stall: Lantern Kitchen Cold
02 Urban Core,02 The Provisioning Sectors,Freight Transfer Courts,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/09_freight_transfer_courts_map.png,Weapon Skin Shop: Patternsmith Freight; Relic Trader: Oldlight Finds Freight
02 Urban Core,02 The Provisioning Sectors,Service Alleys,area_maps/sub_locations/02_urban_core/02_the_provisioning_sectors/10_service_alleys_map.png,Inn: The Rested Service
02 Urban Core,03 The On Demand Arteries,Express Fulfillment Towers,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/01_express_fulfillment_towers_map.png,Inn: The Silver Express; Marketplace: Merchant Court Express
02 Urban Core,03 The On Demand Arteries,Flash Manufactories,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/02_flash_manufactories_map.png,Marketplace: Trade Circle Flash
02 Urban Core,03 The On Demand Arteries,Same-Day Foundries,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/03_same_day_foundries_map.png,Weapon Skin Shop: Skinworks Same-Day
02 Urban Core,03 The On Demand Arteries,Adaptive Warehouses,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/04_adaptive_warehouses_map.png,Blacksmith: Hammer at Adaptive
02 Urban Core,03 The On Demand Arteries,Skyway Exchange Loop,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/05_skyway_exchange_loop_map.png,Curio Shop: Curio Niche Skyway
02 Urban Core,03 The On Demand Arteries,Mag-Rail Merge,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/06_mag_rail_merge_map.png,Armor Dye Pack Shop: Shadeworks Mag-Rail; Weapon Skin Shop: Skinworks Mag-Rail
02 Urban Core,03 The On Demand Arteries,Delivery Drone Port,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/07_delivery_drone_port_map.png,Enchanter: Arcane Polish Delivery
02 Urban Core,03 The On Demand Arteries,Overpass Clash Zone,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/08_overpass_clash_zone_map.png,Mechanic: Repair Dock Overpass
02 Urban Core,03 The On Demand Arteries,Transit Ramp Nexus,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/09_transit_ramp_nexus_map.png,none
02 Urban Core,03 The On Demand Arteries,Toll Gate Cluster,area_maps/sub_locations/02_urban_core/03_the_on_demand_arteries/10_toll_gate_cluster_map.png,Stable: Surestep Yard Toll
02 Urban Core,04 The Raid Rush Choke Points,Barricaded Funnels,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/01_barricaded_funnels_map.png,Medic: Field Surgery Barricaded
02 Urban Core,04 The Raid Rush Choke Points,Turret Lines,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/02_turret_lines_map.png,Alchemist: Elixir Nook Turret
02 Urban Core,04 The Raid Rush Choke Points,Drone Nests,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/03_drone_nests_map.png,Weapon Skin Shop: Chromaforge Drone
02 Urban Core,04 The Raid Rush Choke Points,Kill Corridors,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/04_kill_corridors_map.png,Blacksmith: Anvil of Kill
02 Urban Core,04 The Raid Rush Choke Points,Gatehouse Forts,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/05_gatehouse_forts_map.png,Tailor: Cloak and Cord Gatehouse
02 Urban Core,04 The Raid Rush Choke Points,Tactical Control Bunker,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/06_tactical_control_bunker_map.png,Enchanter: Runelight Tactical
02 Urban Core,04 The Raid Rush Choke Points,Fallback Node,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/07_fallback_node_map.png,none
02 Urban Core,04 The Raid Rush Choke Points,Siege Ramp Access,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/08_siege_ramp_access_map.png,Curio Shop: Lucky Relics Siege
02 Urban Core,04 The Raid Rush Choke Points,Security Wall Segment,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/09_security_wall_segment_map.png,Armor Dye Pack Shop: Pigment Loft Security
02 Urban Core,04 The Raid Rush Choke Points,Emergency Med Station,area_maps/sub_locations/02_urban_core/04_the_raid_rush_choke_points/10_emergency_med_station_map.png,Inn: The Moonlit Emergency
02 Urban Core,05 The Front Matter Void,Reality Fracture Edge,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/01_reality_fracture_edge_map.png,Blacksmith: Smelter of Reality; General Goods: Provisions of Reality
02 Urban Core,05 The Front Matter Void,Blank-Load Terraces,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/02_blank_load_terraces_map.png,none
02 Urban Core,05 The Front Matter Void,Null Plaza,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/03_null_plaza_map.png,Enchanter: Arcane Polish Null; General Goods: Provisions of Null
02 Urban Core,05 The Front Matter Void,Data Tear Corridor,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/04_data_tear_corridor_map.png,Stable: Saddle Gate Data
02 Urban Core,05 The Front Matter Void,Anomaly Plaza,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/05_anomaly_plaza_map.png,General Goods: Loadout Depot Anomaly; Armor Dye Pack Shop: Shadeworks Anomaly
02 Urban Core,05 The Front Matter Void,Geometry Spill,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/06_geometry_spill_map.png,Weapon Skin Shop: Chromaforge Geometry
02 Urban Core,05 The Front Matter Void,Static Bridge,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/07_static_bridge_map.png,Curio Shop: Lucky Relics Static
02 Urban Core,05 The Front Matter Void,Voidwatch Platform,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/08_voidwatch_platform_map.png,Food Stall: Spice Cart Voidwatch; Alchemist: Remedy House Voidwatch
02 Urban Core,05 The Front Matter Void,Fracture Beacon,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/09_fracture_beacon_map.png,Armor Dye Pack Shop: Color Forge Fracture
02 Urban Core,05 The Front Matter Void,Emergency Seal Gate,area_maps/sub_locations/02_urban_core/05_the_front_matter_void/10_emergency_seal_gate_map.png,Inn: The Iron Emergency
02 Urban Core,06 The Micro Markets,Bazaar Ring,area_maps/sub_locations/02_urban_core/06_the_micro_markets/01_bazaar_ring_map.png,Armor Dye Pack Shop: Pigment Loft Bazaar
02 Urban Core,06 The Micro Markets,Street Bazaar & Stalls,area_maps/sub_locations/02_urban_core/06_the_micro_markets/02_street_bazaar_and_stalls_map.png,Inn: The Wandering Street
02 Urban Core,06 The Micro Markets,Black-Market Alleys,area_maps/sub_locations/02_urban_core/06_the_micro_markets/03_black_market_alleys_map.png,Tailor: Needlehouse Black-Market
02 Urban Core,06 The Micro Markets,Pawn Arcades,area_maps/sub_locations/02_urban_core/06_the_micro_markets/04_pawn_arcades_map.png,Blacksmith: Smelter of Pawn
02 Urban Core,06 The Micro Markets,Loot & Gear Bazaars,area_maps/sub_locations/02_urban_core/06_the_micro_markets/05_loot_and_gear_bazaars_map.png,Curio Shop: Curio Niche Loot; Blacksmith: Anvil of Loot
02 Urban Core,06 The Micro Markets,Prize Drop Plaza,area_maps/sub_locations/02_urban_core/06_the_micro_markets/06_prize_drop_plaza_map.png,none
02 Urban Core,06 The Micro Markets,Hidden Exchange Court,area_maps/sub_locations/02_urban_core/06_the_micro_markets/07_hidden_exchange_court_map.png,Mechanic: Cog & Weld Hidden
02 Urban Core,06 The Micro Markets,Vendor Stack Towers,area_maps/sub_locations/02_urban_core/06_the_micro_markets/08_vendor_stack_towers_map.png,Enchanter: Arcane Polish Vendor
02 Urban Core,06 The Micro Markets,Transit Kiosk Row,area_maps/sub_locations/02_urban_core/06_the_micro_markets/09_transit_kiosk_row_map.png,Weapon Skin Shop: Skinworks Transit; Relic Trader: Antique Vault Transit
02 Urban Core,06 The Micro Markets,Rooftop Safehouse,area_maps/sub_locations/02_urban_core/06_the_micro_markets/10_rooftop_safehouse_map.png,Stable: Mount Roost Rooftop
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Echo Crown,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/01_echo_crown_map.png,General Goods: Provisions of Echo
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Summit Causeway,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/02_summit_causeway_map.png,Inn: The Ember Summit; Marketplace: Merchant Court Summit
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Harmonic Spire,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/03_harmonic_spire_map.png,General Goods: Pack & Barrel Harmonic
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Wind Shrine,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/04_wind_shrine_map.png,Marketplace: Merchant Court Wind; Medic: Field Surgery Wind
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Resonance Basin,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/05_resonance_basin_map.png,Alchemist: Glassleaf Phials Resonance
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Avalanche Steps,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/06_avalanche_steps_map.png,Weapon Skin Shop: EdgeLacquer Avalanche
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Choir Pass,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/07_choir_pass_map.png,Mechanic: Repair Dock Choir
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Watcher Ledge,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/08_watcher_ledge_map.png,Blacksmith: Smelter of Watcher
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Resonance Towers,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/09_resonance_towers_map.png,Armor Dye Pack Shop: Dyehouse Resonance
03 Western Wastes And Arid Plains,01 The Resonant Peaks,Deep Echo Cavern,area_maps/sub_locations/03_western_wastes_and_arid_plains/01_the_resonant_peaks/10_deep_echo_cavern_map.png,Tailor: Stitchmark Deep; Marketplace: Bazaar Lane Deep
03 Western Wastes And Arid Plains,02 The Sonic Badlands,Tuning Fork Expanse,area_maps/sub_locations/03_western_wastes_and_arid_plains/02_the_sonic_badlands/01_tuning_fork_expanse_map.png,Armor Dye Pack Shop: Color Forge Tuning
03 Western Wastes And Arid Plains,02 The Sonic Badlands,Standing Wave Gulch,area_maps/sub_locations/03_western_wastes_and_arid_plains/02_the_sonic_badlands/02_standing_wave_gulch_map.png,Enchanter: Sigil Loom Standing; Relic Trader: Oldlight Finds Standing
03 Western Wastes And Arid Plains,02 The Sonic Badlands,Resonance Dunes,area_maps/sub_locations/03_western_wastes_and_arid_plains/02_the_sonic_badlands/03_resonance_dunes_map.png,Medic: Firstlight Clinic Resonance; General Goods: Supply Post Resonance
03 Western Wastes And Arid Plains,02 The Sonic Badlands,Feedback Basin,area_maps/sub_locations/03_western_wastes_and_arid_plains/02_the_sonic_badlands/04_feedback_basin_map.png,Curio Shop: Lucky Relics Feedback
03 Western Wastes And Arid Plains,02 The Sonic Badlands,Forkkeeper Outpost,area_maps/sub_locations/03_western_wastes_and_arid_plains/02_the_sonic_badlands/05_forkkeeper_outpost_map.png,Stable: Surestep Yard Forkkeeper
03 Western Wastes And Arid Plains,02 The Sonic Badlands,Echo Drift,area_maps/sub_locations/03_western_wastes_and_arid_plains/02_the_sonic_badlands/06_echo_drift_map.png,Weapon Skin Shop: Chromaforge Echo; Stable: Surestep Yard Echo
03 Western Wastes And Arid Plains,02 The Sonic Badlands,Frequency Wall,area_maps/sub_locations/03_western_wastes_and_arid_plains/02_the_sonic_badlands/07_frequency_wall_map.png,Blacksmith: Smelter of Frequency; Relic Trader: Heritage Stand Frequency
03 Western Wastes And Arid Plains,02 The Sonic Badlands,Storm Channel,area_maps/sub_locations/03_western_wastes_and_arid_plains/02_the_sonic_badlands/08_storm_channel_map.png,Inn: The Rested Storm; Tailor: Needlehouse Storm
